speaker,title,institution,date,link,topic
"Philip, James",Exploring Inhalation Anesthetics Through Gas Man Computer Simulation,U. Wisconsin,2017-10-04,https://videos.med.wisc.edu/videos/77485,Physiology
"Eckmann, Maxim",Ultrasound Assisted Injections of the Thoracic Spine,U. Wisconsin,2017-09-20,https://videos.med.wisc.edu/videos/77467,Regional
"Zuegge, Karin","What Does it Cost, and Why Does it Matter?",U. Wisconsin,2017-09-13,https://videos.med.wisc.edu/videos/77466,Infrastructure
"Murphy, Glenn",Perioperative Racial Disparities,U. Wisconsin,2017-08-09,https://videos.med.wisc.edu/videos/76674,Infrastructure
"Netzel, Christopher","Gut Microbes, Metabolic Syndrome and Possible Anesthetic Implications",U. Wisconsin,2017-08-02,https://videos.med.wisc.edu/videos/76706,General
"Yegian, Courtney",Anesthesia Awareness: The Public's Perception of Anesthesiology,U. Wisconsin,2017-07-05,https://videos.med.wisc.edu/videos/76419,General
"Gittens, Brian",Unconscious Bias in Academic Medicine,U. Wisconsin,2017-06-28,https://videos.med.wisc.edu/videos/76341,Misc
"Stahler, Paul",ICU Management of the Potential Organ Donor,U. Wisconsin,2017-06-14,https://videos.med.wisc.edu/videos/75924,ICU
"Leiendecker, Eric",ARDS: An Update,U. Wisconsin,2017-06-07,https://videos.med.wisc.edu/videos/75931,ICU
"Pryde, Peter",Optimizing Obstetrical Anesthesia Care: Its Not Just Labor Epidurals,U. Wisconsin,2017-05-17,https://videos.med.wisc.edu/videos/75825,OB
"Hoffman, Harrison",Anesthetic Management of Bronchospasm in the Perioperative Period,U. Wisconsin,2017-05-03,https://videos.med.wisc.edu/videos/75069,General
"Ebbe, Robert",Recognizing and Responding to Disruptive Events,U. Wisconsin,2017-04-19,https://videos.med.wisc.edu/videos/74280,Misc
"Ingebrigtson, Dane",Anesthetic Considerations for the LVAD Patient for Non-Cardiac Surgery,U. Wisconsin,2017-04-05,https://videos.med.wisc.edu/videos/74102,Cardiac
"Anderson, Andrew",Transcatheter Mitral Valve Repair: An Overview,U. Wisconsin,2017-03-15,https://videos.med.wisc.edu/videos/73260,Cardiac
"Hickson, Gerald",Addressing Behaviors that Undermine a Culture of Safety,U. Wisconsin,2017-03-08,https://videos.med.wisc.edu/videos/73814,Infrastructure
"Immen, Steven",Anesthesia in the Psychiatry Patient,U. Wisconsin,2017-03-01,https://videos.med.wisc.edu/videos/73261,General
"Gerstner, Andrew",TrExit: A Closer Look at Tracheal Extubation Guidelines,U. Wisconsin,2017-02-01,https://videos.med.wisc.edu/videos/72407,General
"Fenlon, James",Residual Neuromuscular Blockade: Implications and Prevention,U. Wisconsin,2017-01-04,https://videos.med.wisc.edu/videos/72067,General
"Murphy, Noreen","Nunquam Non Paratus _ Never Unprepared, Always Ready",U. Wisconsin,2016-11-02,https://videos.med.wisc.edu/videos/70827,General
"Proekt, Alexander","Depth of Anesthesia, A Neuroscience Perspective",U. Wisconsin,2016-09-14,https://videos.med.wisc.edu/videos/69431,Neuro
"Trawicki, Michael",My next patient is a T6 paraplegic. What do I do now? Anesthetic Implications of Spinal Cord Injury,U. Wisconsin,2016-08-17,https://videos.med.wisc.edu/videos/69021,Neuro
"O'Connor-Giles, Kate","Genome Engineering in Research, Medicine, and Beyond",U. Wisconsin,2016-08-10,https://videos.med.wisc.edu/videos/68856,Misc
"Klesius, Lisa",Acute and Perioperative Management of the Burn-Injured Patient,U. Wisconsin,2016-08-03,https://videos.med.wisc.edu/videos/68855,General
"Williams, Seth",Minimizing the Physiological Burden of Spine Surgery,U. Wisconsin,2016-07-20,https://videos.med.wisc.edu/videos/68733,Neuro
"Collins, Nicole","Endogenous Gasotransmitters: What Breathing, Your Brain and Rotten Eggs Have in Common",U. Wisconsin,2016-07-13,https://videos.med.wisc.edu/videos/68719,General
"Boncyk, Christina",The Art of Improving Perioperative Care,U. Wisconsin,2016-07-06,https://videos.med.wisc.edu/videos/68687,Infrastructure
"Leal, Miguel",Update on Cardiac Implantable Electronic Devices,U. Wisconsin,2016-06-08,https://videos.med.wisc.edu/videos/68463,Cardiac
"Chalifoux, Michael",General Anesthesia: Are you really going to sleep?,U. Wisconsin,2016-06-01,https://videos.med.wisc.edu/videos/68433,General
"Hess, John",The Scientific Basis of Transfusion Triggers,U. Wisconsin,2016-05-10,https://videos.med.wisc.edu/videos/68339,Physiology
"Sobeck, Steven",Anesthesia for Nonobstetric Surgery in Pregnancy: Breathing for Two,U. Wisconsin,2016-05-04,https://videos.med.wisc.edu/videos/68246,OB
"Dempsey, Jerome",Human Adaptability to Hypoxia-A Mixed Blessing,U. Wisconsin,2016-04-13,https://videos.med.wisc.edu/videos/67842,Physiology
"Pearce, Robert",How Anesthetics Prevent Learning - From Molecules To Memory,U. Wisconsin,2016-03-16,https://videos.med.wisc.edu/videos/67135,General
"Teodorescu, Mihaela",Obstructive Sleep Apnea: Reasons for Concern,U. Wisconsin,2016-03-09,https://videos.med.wisc.edu/videos/66957,General
"Rabedeaux, Paul","Duty Hour Restrictions: A Brief History, and a Review of the Current Literature",U. Wisconsin,2016-03-02,https://videos.med.wisc.edu/videos/66676,Infrastructure
"Mezrich, Joshua",As They Lay Dying: Reconsidering Organ Donation at the End of Life,U. Wisconsin,2016-02-17,https://videos.med.wisc.edu/videos/66451,Misc
"Nichols, Kyle",Reversal of Neuromuscular Blockade,U. Wisconsin,2016-02-10,https://videos.med.wisc.edu/videos/66081,General
"Zuegge, Karin",Sustainable Anesthesiology Practice -- it's not JUST fun and games!,U. Wisconsin,2016-01-13,https://videos.med.wisc.edu/videos/65284,Infrastructure
"Zajicek, Kerry",Investigating Myths and Dogmas in Anesthesia,U. Wisconsin,2016-01-06,https://videos.med.wisc.edu/videos/65157,General
"Crowder, C. Michael",How Safe is the Perioperative Period? Not Very!,U. Wisconsin,2015-12-16,https://videos.med.wisc.edu/videos/65022,Infrastructure
"Crowder, C. Michael",Mitochondrial Protein Aggregation: A New Hypoxic Pathology,U. Wisconsin,2015-12-15,https://videos.med.wisc.edu/videos/65021,Physiology
"Abel, E. Jason",Does Perioperative Care Impact Cancer Outcomes?,U. Wisconsin,2015-12-09,https://videos.med.wisc.edu/videos/64915,General
"Hollis, Kevin",What is your plan after you get HIT? Understanding and Navigating Heparin Induced Thrombocytopenia,U. Wisconsin,2015-12-02,https://videos.med.wisc.edu/videos/64786,General
"Groose, Molly",Anesthesia in Microgravity,U. Wisconsin,2015-11-18,https://videos.med.wisc.edu/videos/64467,Misc
"Pandharipande, Pratik",Long-Term Neuropsychological Outcomes After Critical Illness,U. Wisconsin,2015-11-11,https://videos.med.wisc.edu/videos/64192,Neuro
"Kumar, Anand","Myocardial Depression in Sepsis and Septic Shock: Presentation, Causes and Management",U. Wisconsin,2015-11-04,https://videos.med.wisc.edu/videos/64039,ICU
"Blanchette, Thomas",Perioperative Multimodal Analgesia,U. Wisconsin,2015-10-07,https://videos.med.wisc.edu/videos/63342,General
"Schulz, Andrew",The Anesthesia Closed Claims Project: Past Lessons and Future Implications,U. Wisconsin,2015-09-23,https://videos.med.wisc.edu/videos/62976,Infrastructure
"Johnson, Joel",Will MOCA Meet our Goals,U. Wisconsin,2015-09-16,https://videos.med.wisc.edu/videos/62676,Infrastructure
"Tung, Avery",Practice Variability: What Does It Mean When We All Do Things Differently?,U. Wisconsin,2015-09-09,https://videos.med.wisc.edu/videos/62531,Infrastructure
"Jenkinson, Robert",Spinal Cord Stimulation: Applications and Future Advancements,U. Wisconsin,2015-09-02,https://videos.med.wisc.edu/videos/62292,Neuro
"Volz, Lana",Am I Going To Get A Shot? Reducing Perioperative Anxiety in Children,U. Wisconsin,2015-08-19,https://videos.med.wisc.edu/videos/61906,Pediatric
"Songster, Jeffrey",Noncardiac Anesthesia for the Cardiac Patient,U. Wisconsin,2015-08-05,https://videos.med.wisc.edu/videos/61856,General
"Flick, Randall",Anesthetic Related Neurotoxicity in the Young: An Update and Critical Review,U. Wisconsin,2015-07-15,https://videos.med.wisc.edu/videos/61691,Pediatric
"Wood, Joel",Perioperative Management of the Septic Patient,U. Wisconsin,2015-07-08,https://videos.med.wisc.edu/videos/61643,General
"Lucas, Tanya",2 For 1: Surgery During Pregnancy,U. Wisconsin,2015-06-24,https://videos.med.wisc.edu/videos/61563,OB
"Postle, Bradley",Neural Activation vs. Neural Information In Human Working Memory,U. Wisconsin,2015-06-10,https://videos.med.wisc.edu/videos/61398,Neuro
"Lacey, Joshua",Anesthesia for the Pregnant Trauma Patient,U. Wisconsin,2015-06-03,https://videos.med.wisc.edu/videos/61397,OB
"Le, Huong",The Elusive Threshold Between High Risk Surgery and Futile Care,U. Wisconsin,2015-05-20,https://videos.med.wisc.edu/videos/61337,General
"Rowley, Howard",Emergency Stroke Treatment: 2015 Updates,U. Wisconsin,2015-05-13,https://videos.med.wisc.edu/videos/61307,Misc
"Kokott, Jeffrey",Risks to the Anesthesia Provider,U. Wisconsin,2015-05-06,https://videos.med.wisc.edu/videos/61190,Misc
"Saidman, Lawrence",Development of the Specialty - Clinically Important Changes,U. Wisconsin,2015-04-15,https://videos.med.wisc.edu/videos/60715,Infrastructure
"Saidman, Lawrence",Development of the Specialty - Socio-Economic Changes,U. Wisconsin,2015-04-14,https://videos.med.wisc.edu/videos/60714,Infrastructure
"Vetter, Thomas",The Perioperative Surgical Home-Why Everyone Wins,U. Wisconsin,2015-03-18,https://videos.med.wisc.edu/videos/59801,Infrastructure
"Chanda, Baron",New Insights into Mechanisms of Local Anesthetic Action on Voltage-Gated Sodium Channel,U. Wisconsin,2015-03-11,https://videos.med.wisc.edu/videos/59707,Physiology
"Reynen, John",Perioperative Anaphylaxis,U. Wisconsin,2015-03-04,https://videos.med.wisc.edu/videos/59541,General
"Anderson, Michael",Organ Donation: Preserving the Opportunity,U. Wisconsin,2015-02-18,https://videos.med.wisc.edu/videos/59112,General
"Pugh, Carla",Signatures: Drawing Meaning for Clinical Skills Performance Using Sensors and Motion Tracking Technology,U. Wisconsin,2015-02-11,https://videos.med.wisc.edu/videos/58861,Infrastructure
"Cios, Hubert",Heliox: An Overview of Current Therapeutic Uses and Evidence,U. Wisconsin,2015-02-04,https://videos.med.wisc.edu/videos/58654,General
"Springman, Scott","Data Quality, EHRs and Security",U. Wisconsin,2015-01-14,https://videos.med.wisc.edu/videos/57999,Infrastructure
"Borden, Shelly",Geriatric Anesthesia in the Outpatient Setting: Pre-Operative Considerations,U. Wisconsin,2015-01-07,https://videos.med.wisc.edu/videos/57823,General
"Koch, Colleen",ACCM Strategic Plan,Johns Hopkins,2014-12-18,http://webcast.jhu.edu/Mediasite/Play/be5e118c1e9b4ccaa36fee45751b48211d,Infrastructure
"Pitkin, Andrew",Under Pressure: Diving and Hyperbaric Physiology and Disease,U. Wisconsin,2014-12-17,https://videos.med.wisc.edu/videos/57697,Physiology
"Rock, Jessica",Postpartum Mood Disorders,,2014-12-10,https://vimeo.com/114664546,OB
"Van Veen, Barry",Modeling Electrical Brain Networks from Electroencephalography,U. Wisconsin,2014-12-10,https://videos.med.wisc.edu/videos/57696,Neuro
"Tan, Michael",The Perioperative Surgical Home: What is the Evidence Behind it?,U. Wisconsin,2014-12-03,https://videos.med.wisc.edu/videos/57376,Infrastructure
"Landau, Ruth",Preeclampsia: Current and Future Research: Where is the Cutting Edge,,2014-12-01,https://vimeo.com/98123031,OB
"Wassarman, David",A Drosophilia Model of Closed Head Traumatic Brain Injury,U. Wisconsin,2014-11-12,https://videos.med.wisc.edu/videos/56870,Neuro
"Tamm-Daniels, Inge",Liposomal Bupivacaine: The Next Best Thing?,U. Wisconsin,2014-11-05,https://videos.med.wisc.edu/videos/56752,Regional
"Toledano, Roulhac",Jeopardy! Controversies in Epidural Anesthesia & Analgesia,,2014-11-01,https://vimeo.com/111845141,Regional
"Richardson, Michael",Bridging the Language & Cultural Chasm: Low Hanging Quality Improvement Fruit,,2014-10-01,https://vimeo.com/108524921,Infrastructure
"Anderson, Cordel",The Environmental Impact of Volatile Anesthetics,U. Wisconsin,2014-10-01,https://videos.med.wisc.edu/videos/55768,General
"Wynn, Martha",Low Tidal Volumes in the OR-What are the Issues?,U. Wisconsin,2014-09-10,https://videos.med.wisc.edu/videos/55119,General
"Wiener-Kronish, Jeanine",Changes in Anesthesia - Implications for Academic Anesthesia Departments,U. Wisconsin,2014-09-09,https://videos.med.wisc.edu/videos/55117,Infrastructure
"Lee, Allison",Use of Ultrasound in Obstetric Anesthesia,,2014-09-01,https://vimeo.com/106637710,OB
"Naidech, Andrew",Improving Quality of Life After Intracerebral Hemorrhage,U. Wisconsin,2014-08-20,https://videos.med.wisc.edu/videos/54677,Neuro
