group,title,url
art_rad_us,UCSF,https://youtu.be/YOxyssqqYNE 
art_rad_us,Sonosite 3D,https://youtu.be/uHfeyAYiWOc
art_rad_non_us,NEJM,https://youtu.be/8hK04ai17-k 
art_rad_non_us,Kaiser Permanente - Barry Bloom,https://youtu.be/6--8J4iqGEY 
art_rad_non_us,Arrow Catheter,https://youtu.be/ug2JIsk8494 
art_rad_non_us,Yale Media Lab - Viji Kurup,http://medicine.yale.edu/anesthesiology/media/videos.aspx#6-178321
art_brach_non_us,Dr. Gallagher s Neighborhood,https://youtu.be/fRUHD6WJraU
cent_ij_us,NEJM,https://youtu.be/HE5QhsPRaPU 
cent_ij_us,Mount Sinai Hospital - David Reich,https://youtu.be/coEpM7IBzsM 
cent_ij_us,Sonosite Part 1 - Phil Perera,https://youtu.be/_RHRy64jQ6s
cent_ij_us,Sonosite Part 2 - Phil Perera,https://youtu.be/zV3hw_QbgK4
cent_ij_us,Sonosite Cedars-Sinai - Diku Mandavia,https://youtu.be/21w4kuD0_gA
swan,Kaiser Permanente - Barry Bloom,https://youtu.be/HdlCH_h_Hao 
cent_subclav_us,Sonosite 3D,https://youtu.be/IBmbc1ak5fY 
cent_subclav_us,Sonosite - Supraclavicular Approach - Phil Perera,https://youtu.be/I3Jqbxa1_Ts
cent_subclav_non_us,Ashton Moh,https://youtu.be/p-yUMu63TMQ
cent_fem_us,Sonosite 3D,https://youtu.be/gNvbxeoUMlc
io,Humeral EZ IO Insertion - Arrow,https://youtu.be/ExF3QJ5UxhQ
io,Tibial EZ IO Insertion - Arrow,https://youtu.be/o4A-T4A80uQ
io,Pediatric EZ IO - Arrow,https://youtu.be/mpnroZi8t0A
io,Pediatric EZ IO - Brad Sobolewski,https://vimeo.com/35338622
io,Pediatric IO Lecture - CHB,https://youtu.be/HcbMR774rvQ
interscalene,NYSORA,https://youtu.be/Zke6938Y1k4 
interscalene,Sonosite - David Auyong,https://youtu.be/Dg9BJ-32yLc 
interscalene,Sonosite 3D,https://youtu.be/wAABZF1aSO8 
interscalene,Yale Media Lab,https://medicine.yale.edu/anesthesiology/media/videos.aspx#6-194040
interscalene,Analogic - Brian Pollard,https://youtu.be/6HhKpLEdGWY
interscalene,RACSI - Robert Raw,https://youtu.be/cUYsFNL9g2M 
interscalene,SSRA - Theresa Bowling,https://youtu.be/OhFs-batCSY
supraclavicular,NYSORA,https://youtu.be/UmG-bgEQQ4E 
supraclavicular,LSORA,https://youtu.be/by28CWp-H-o 
supraclavicular,Analogic - Brian Pollard,https://youtu.be/JD5MYRhjsWU 
supraclavicular,Sonosite - David Auyong,https://youtu.be/ztOIvfjsB-U 
supraclavicular,Sonosite 3D,https://youtu.be/9vW1uo7mKDc 
supraclavicular,Yale Media Lab,http://medicine.yale.edu/anesthesiology/media/videos.aspx#6-194043
supraclavicular,RACSI - Robert Raw,https://youtu.be/FeQfAlJkPk8 
supraclavicular,SSRA - Theresa Bowling,https://youtu.be/FgH5RWkhD0g
infraclavicular,Sonosite - David Auyong,https://youtu.be/hRyDtXrfYqc 
infraclavicular,Analogic - Brandon Winchester (Catheter),https://youtu.be/GL6q61r_oU8
infraclavicular,Yale Media Lab,http://medicine.yale.edu/anesthesiology/media/videos.aspx#6-194039
infraclavicular,RASCI - Robert Raw,https://youtu.be/HtDEYcxtE5w 
infraclavicular,SSRA - Theresa Bowling,https://youtu.be/Z9woYkyJl_U
axillary,NYSORA,https://youtu.be/DdbtAClkBAs 
axillary,Sonosite - David Auyong,https://youtu.be/GaH-CO6OrV0 
axillary,Sonosite 3D,https://youtu.be/3utZmyOXrYg 
axillary,Yale Media Lab,http://medicine.yale.edu/anesthesiology/media/videos.aspx#6-194036
axillary,RACSI - Robert Raw,https://youtu.be/3iVjzo13w9g
femoral,NYSORA,https://youtu.be/1mkHrVxdGNg 
femoral,Sonosite - David Auyong,https://youtu.be/5ht_N8j2KL8 
femoral,Sonosite 3D,https://youtu.be/pCkjioc-EmQ 
femoral,Analogic - Brian Pollard,https://youtu.be/KINbrLTI7PI 
femoral,Yale Media Lab,http://medicine.yale.edu/anesthesiology/media/videos.aspx#6-194038
femoral,Yale Media Lab - Saphenous Block,http://medicine.yale.edu/anesthesiology/media/videos.aspx#6-194021
femoral,SSRA - Steven Finkel,https://youtu.be/DwtvZ0tC9ng 
femoral,Analogic - Brandon Winchester - Adductor Canal Catheter,https://youtu.be/4WFerLClu9s 
femoral,AMSURA - Adductor Canal,https://youtu.be/o9zzqILu0Dk
sciatic,NYSORA - Popliteal,https://youtu.be/gH1BS54EYjU 
sciatic,LSORA - Popliteal,https://youtu.be/b2q1sRVa9cM 
sciatic,Yale Media Lab - Popliteal,http://medicine.yale.edu/anesthesiology/media/videos.aspx#6-194041
sciatic,Analogic - Brian Pollard,https://youtu.be/6UFrD69QuCs
sciatic,UCSF - Popliteal,https://youtu.be/CTJJdISVc24 
sciatic,SSRA - Popliteal - Steven Finkel,https://youtu.be/qYM2sft8R2I 
sciatic,Sonosite - Popliteal - David Auyong,https://youtu.be/kzhSiQBPE7s 
sciatic,Yale Media Lab - Subgluteal,http://medicine.yale.edu/anesthesiology/media/videos.aspx#6-194042
sciatic,Sonosite - Subgluteal - David Auyong,https://youtu.be/rl8rZOEMveE 
sciatic,SSRA - Anterior - Steven Finkel,https://youtu.be/h14Ee2yAmUU 
lumbar_plexus,Manoj Karmakar,https://youtu.be/FcRvoMZoh2c
abdominal,Sonosite 3D - Ilioinguinal / Iliohypogastric,https://youtu.be/uurxBFRT_EE
abdominal,Sonosite - Ilioinguinal / Iliohypogastric - David Auyong,https://youtu.be/6E3ynIn6Ud4
abdominal,SSRA - TAP Block - Theresa Bowling,https://youtu.be/9iXkZ8KG2X4
abdominal,Analogic - TAP Block - Brandon Winchester,https://youtu.be/Ou1aft6ClM8
abdominal,Pajunk - TAP Block,https://youtu.be/CzMDdrPbLEM
abdominal,TAP Block - Brian Sites,https://youtu.be/9TIHDn7uBZI
abdominal,SSRA - Fascia Iliaca Block - Steven Finkel,https://youtu.be/2rCiAbtLmZ8
abdominal,David Provenzano - Ilioinguinal/Iliohypogastric/TAP lecture,https://youtu.be/gTJ6IrhVqwo
pediatric_block,Pediatric TAP Block,https://youtu.be/XfRLiny_D8E
spinal,Procedural Checklist - Stanford,https://youtu.be/eblMcptvcAo
spinal,Obstetric Spinal,https://youtu.be/JC0ljF1TRuQ
epidural,Braun Perifix,https://youtu.be/Ttm0p8MJRWA
epidural,10 Tips to Optimize Technique - Lecture - Lawrence Tsen,https://youtu.be/_BqxQW4Uyh4
paravertebral,LSORA,http://youtu.be/vSbhqR5oIAs
paravertebral,SSRA - US-guided - Theresa Bowling,https://youtu.be/l97p0mbOv1E
intubation_adult,Orotracheal Intubation Part I - NEJM,https://youtu.be/8SS_AhR-DUw
intubation_adult,Orotracheal Intubation Part II- NEJM,https://youtu.be/t_8lNoaP6Oo
intubation_adult,Intubation on Mannequin - Chris Gallagher,http://youtu.be/ZJtFb7lGPic
intubation_adult,Basic Principles of Direct Laryngoscopy,https://youtu.be/ooiw6zpCJbI
intubation_adult,Direct Laryngoscopy,https://youtu.be/tjR_-Wq4pns
intubation_adult,Endotracheal Intubation,https://youtu.be/5J3J38se3TQ
intubation_adult,Mannequin demo - Keith Littlewood,https://youtu.be/-c3DxFEGaL4
intubation_pediatric,Pediatric Glidescope Intubation,https://youtu.be/166GYtQd2Z4
olv,Double-Lumen Tube Part I,https://youtu.be/w1cgx2AVC6k
olv,Double-Lumen Tube Part II,https://youtu.be/JZkOiy4PXxg
olv,Bronchial Blocker,https://youtu.be/mlS35eUUxqA
mask,Mask Ventilation - Chris Gallagher,http://youtu.be/1goz1l28kUQ
mask,LMA Use - Chris Gallagher,http://youtu.be/-oXa-f5qkGY
mask,Pediatric Mask Ventilation - Brad Sobolewski,https://vimeo.com/57016752
fiberoptic,Awake Fiberoptic - Yale Media Lab,http://medicine.yale.edu/anesthesiology/media/videos.aspx#6-163756
fiberoptic,Awake Fiberoptic / Transtracheal Block - Michael Bailin,https://youtu.be/bDRTzmuwMnQ
fiberoptic,Awake Fiberoptic - Daniel Hubbard et al,https://vimeo.com/101452570
fiberoptic,Fiberoptic intubation tips - Chris Gallagher,http://youtu.be/-Ehjj06HReE
fiberoptic,Fiberoptic Williams Airway - SMACC,https://vimeo.com/120996245
intubation_video,Video Laryngoscopy - Chris Gallagher,http://youtu.be/I1k_z8kGwt4
intubation_video,Glidescope demo,https://youtu.be/Kt2VweVmNwY
intubation_video,Glidescope demo - HospitalProcdures.org,https://youtu.be/4VAMBj2kc2Y
intubation_video,Introduction to the Glidescope - Gary Geis,https://vimeo.com/40230199
intubation_video,C-Mac Demonstration - Stuart Grant,https://vimeo.com/96644595
advanced_airway,Bougie guided intubation,https://youtu.be/E7Lo1JD2Brk
advanced_airway,Retrograde intubation,https://youtu.be/JYMwy1-MwMU
advanced_airway,Fiberoptic intubation through LMA,https://vimeo.com/98736934
cric,Percutaneous Cricothyrotomy tutorial - Chris Gallagher,http://youtu.be/1DBHhvWIPCk
cric,Surgical Cricothyrotomy Animation,https://youtu.be/dvWy9NXiZZI
cric,Surgical Cricothyroidotomy - UCSD - Dennis Kim,https://youtu.be/Kg14kdIycDE
cric,Needle Cricothyrotomy,https://youtu.be/aPiQA2XKkcs
