state,program,website,video
AL,U. Alabama,https://www.uab.edu/medicine/anesthesiology/,
AZ,U. Arizona,http://anesth.medicine.arizona.edu,
AZ,Mayo Clinic AZ,http://www.mayo.edu/mayo-clinic-school-of-graduate-medical-education/residencies-fellowships/anesthesiology/anesthesiology-residency-arizona,
AR,U. Arkansas,http://anesthesiology.uams.edu,https://youtu.be/c-nj7YOz5K0
CA,Harbor/UCLA,http://www.harbor-ucla.org/anesthesiology/,
CA,Naval Medical Center San Diego,https://www.med.navy.mil/sites/nmcsd/Pages/Staff/Training/GME-Residencies-Desc.aspx?Title=Anesthesiology,
CA,UC Davis,http://www.ucdmc.ucdavis.edu/anesthesiology,
CA,UC Irvine,http://www.anesthesiology.uci.edu/,
CA,Loma Linda,http://www.lluanesthesia.com/,
CA,USC,http://keck.usc.edu/anesthesia,
CA,Cedars-Sinai,https://www.cedars-sinai.edu/education/graduate-medical/residency/anesthesiology.html,https://youtu.be/j1cJ-ax-aPQ
CA,UCLA,https://www.uclahealth.org/anes/,
CA,UCSD,http://anesthesia.ucsd.edu/Pages/default.aspx,
CA,UCSF,http://anesthesia.ucsf.edu/extranet/home/default.php,
CA,Stanford,http://med.stanford.edu/anesthesia/,
CO,U. Colorado,http://www.ucdenver.edu/academics/colleges/medicalschool/departments/Anesthesiology/Pages/Anesthesiology.aspx,
CT,Yale,http://medicine.yale.edu/anesthesiology/,
CT,U. Connecticut,http://gme.uchc.edu/programs/anesthesiology/,
DC,Georgetown,http://anesthesiology.georgetown.edu/,
DC,George Washington,http://smhs.gwu.edu/anesthesiology/,
DC,National Capital Consortium,https://walterreed.tricare.mil/Health-Services/Hospital-Care-Surgery/Anesthesia,
FL,Mount Sinai,http://www.msmc.com/education/anesthesiology,
FL,U. Florida Jacksonville,http://hscj.ufl.edu/anesthesiology/,
FL,Mayo Clinic Jacksonville,http://www.mayo.edu/msgme/residencies-fellowships/anesthesiology/anesthesiology-residency-florida,
FL,U. Florida,http://www.anest.ufl.edu/,https://youtu.be/uWkojPCHBXQ
FL,Jackson Memorial (Miami),http://anesthesiology.med.miami.edu/,
GA,Medical College of GA,http://www.gru.edu/mcg/anes/,
GA,Emory,http://www.anesthesiology.emory.edu/,
IL,U. Illinois,http://chicago.medicine.uic.edu/departments___programs/departments/anesthesiology/,
IL,U. Chicago,http://anesthesia.uchicago.edu/,
IL,Loyola,http://www.stritch.luc.edu/anesthesiology/,https://youtu.be/_pjEOulfr7E
IL,Cook County,https://cookcountyhealth.org/education-research/residency-programs/anesthesiology/,
IL,Advocate Illinois Masonic,https://www.advocatehealth.com/education/residency-opportunities/advocate-illinois-masonic-medical-center/residency/anesthesiology/,
IL,Northwestern,http://www.feinberg.northwestern.edu/sites/anesthesiology/,
IL,Rush,https://www.rushu.rush.edu/rush-medical-college/departments/anesthesiology,
IN,Indiana U.,https://medicine.iu.edu/anesthesia,
IO,U. Iowa,https://medicine.uiowa.edu/anesthesia/,
KA,U. Kansas,http://www.kumc.edu/anes,
KA,U. Kansas (Wichita),http://wichita.kumc.edu/anesthesiology.html,
KY,U. Kentucky,http://www.wildcatanesthesia.com/,https://youtu.be/T1bCBu72DdE
KY,U. Louisville,http://louisville.edu/medschool/anesthesiology/,https://youtu.be/Q6pFA8LBgkE
LA,LSU Shreveport,https://www.lsuhscshreveport.edu/departments/school-of-medicine/anesthesiology,
LA,Ochsner Clinic,https://www.ochsner.org/services/anesthesiology,
LA,Tulane,http://medicine.tulane.edu/departments/anesthesiology,
LA,LSU,https://www.medschool.lsuhsc.edu/anesthesiology/,
ME,Maine Medical,https://mainehealth.org/maine-medical-center/education-research/students-residents-fellows/residencies/anesthesiology,https://youtu.be/uTki9Qzt0Zc
MD,U. Maryland,http://medschool.umaryland.edu/anesthesiology/,https://youtu.be/C0dkuNDLkh8
MD,Johns Hopkins,http://www.hopkinsmedicine.org/anesthesiology,
MA,Beth Israel Deaconess,http://www.bidmc.org/Centers-and-Departments/Departments/Anesthesia-Critical-Care-and-Pain-Medicine.aspx,
MA,Baystate Medical,https://www.baystatehealth.org/education-research/education/residencies/anesthesiology,
MA,Boston U.,http://www.bmc.org/anesthesia/,
MA,Lahey,http://www.lahey.org/Education_and_Research/Graduate_Medical_Education/Residencies/Anesthesiology/Anesthesiology_Residency.aspx,https://youtu.be/TZ1VC3bL9k8
